nintendo_switch_platform,metric,3_2017,3_2018,3_2019,3_2020
Nintendo Switch hardware/Japan,ten thousand units (hardware),60,378,385,521
Nintendo Switch hardware/The Americas,ten thousand units (hardware),120,594,688,811
Nintendo Switch hardware/Europe,ten thousand units (hardware),76,379,455,534
Nintendo Switch hardware/Other,ten thousand units (hardware),18,154,169,237
Nintendo Switch software/Japan,ten thousand units (software),89,1226,2148,3256
Nintendo Switch software/The Americas,ten thousand units (software),286,2752,5394,7428
Nintendo Switch software/Europe,ten thousand units (software),142,1917,3516,5017
Nintendo Switch software/Other,ten thousand units (software),29,456,797,1171
